City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
237,Marystown,CA,47.1666,-55.1483,36.01,92,100,4.27,overcast clouds
238,Puerto El Triunfo,SV,13.2833,-88.55,77.0,100,20,2.3,few clouds
239,Rzhyshchiv,UA,49.9689,31.0463,54.0,66,20,8.95,few clouds
240,Ouesso,CG,1.6136,16.0517,72.01,92,100,1.19,overcast clouds
241,Touros,BR,-5.1989,-35.4608,73.4,100,40,3.44,scattered clouds
242,Sorland,NO,67.667,12.6934,46.4,81,0,13.8,clear sky
243,Lavrentiya,RU,65.5833,-171.0,24.39,84,100,7.09,overcast clouds
244,Calvinia,ZA,-31.4707,19.776,69.8,32,20,2.3,few clouds
245,Santiago,CL,-33.4569,-70.6483,64.99,93,20,0.72,few clouds
246,Sinnamary,GF,5.3833,-52.95,75.74,87,67,9.37,broken clouds
247,Ixtapa,MX,20.7,-105.2,65.08,75,3,3.33,clear sky
248,Kargasok,RU,59.0556,80.8572,14.77,65,100,18.52,overcast clouds
249,Sungairaya,ID,0.7,108.9,86.41,62,1,6.82,light rain
250,Lasa,IT,46.6166,10.7002,48.99,93,40,8.05,scattered clouds
251,Honningsvag,NO,70.9821,25.9704,39.2,60,0,20.71,clear sky
252,Ordzhonikidze,KZ,52.4411,61.7408,36.25,33,26,18.88,scattered clouds
253,Usinsk,RU,65.9939,57.5281,29.08,70,100,17.07,overcast clouds
254,Saint-Joseph,RE,-21.3667,55.6167,78.8,89,75,19.57,light rain
255,Bend,US,44.0582,-121.3153,46.4,46,1,6.02,clear sky
256,Lingao,CN,19.9103,109.6859,82.08,74,44,4.29,scattered clouds
257,Srandakan,ID,-7.9386,110.2506,84.42,68,28,14.27,scattered clouds
258,Sept-Iles,CA,50.2001,-66.3821,39.2,60,60,4.61,broken clouds
259,Juegang,CN,32.3174,121.1855,64.0,52,0,12.37,clear sky
260,Pabna,BD,24.0,89.25,104.09,9,3,9.17,clear sky
261,Kayerkan,RU,69.3497,87.7602,3.34,92,81,8.7,broken clouds
262,Sobolevo,RU,54.4299,31.8996,47.57,76,100,13.42,overcast clouds
263,Battle Creek,US,42.3212,-85.1797,48.2,46,90,12.66,overcast clouds
264,Santa Cruz Do Capibaribe,BR,-7.9575,-36.2047,69.69,96,100,2.04,overcast clouds
265,Umm Kaddadah,SD,13.6017,26.6876,95.67,4,43,8.23,scattered clouds
266,San Cristobal,VE,7.7669,-72.225,66.72,76,99,3.38,overcast clouds
267,Tazovskiy,RU,67.4667,78.7,6.12,88,79,11.86,broken clouds
268,Moba,CN,33.2288,105.0179,51.15,73,100,4.74,overcast clouds
269,Ahipara,NZ,-35.1667,173.1667,57.87,78,74,5.97,broken clouds
270,Taltal,CL,-25.4,-70.4833,61.79,83,64,2.59,broken clouds
271,Sambava,MG,-14.2667,50.1667,80.11,81,12,14.76,moderate rain
272,Kananga,CD,-5.8958,22.4178,79.47,63,100,6.82,overcast clouds
273,Muisne,EC,0.6,-80.0333,74.59,85,93,3.91,overcast clouds
274,Arlit,NE,18.7369,7.3853,95.52,4,0,5.88,clear sky
275,Chuy,UY,-33.6971,-53.4616,61.32,79,97,6.08,overcast clouds
276,Lata,PT,40.1629,-8.3327,57.99,97,91,1.59,overcast clouds
277,Barkhan,PK,29.8977,69.5256,84.33,13,95,8.79,overcast clouds
278,Yarada,IN,17.65,83.2667,87.87,67,0,17.52,clear sky
279,Saint Anthony,US,45.0205,-93.218,37.4,70,90,16.11,overcast clouds
280,Kirakira,SB,-10.4544,161.9205,81.41,82,54,7.72,broken clouds
281,Marabba,SD,12.35,32.1833,100.44,8,11,9.19,few clouds
282,Lethem,GY,3.3803,-59.7968,73.18,79,100,10.74,overcast clouds
283,Husavik,IS,66.0449,-17.3389,35.6,44,20,8.05,few clouds
284,Hamilton,US,39.1834,-84.5333,50.0,76,60,3.51,broken clouds
285,Dauphin,CA,51.1494,-100.0502,19.4,79,1,8.05,clear sky
286,Vardo,NO,70.3705,31.1107,41.0,60,0,9.22,clear sky
287,Juneau,US,58.3019,-134.4197,45.0,70,1,7.36,clear sky
288,Lagoa,PT,39.05,-27.9833,60.76,87,56,9.57,broken clouds
289,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.1,98,76,1.52,broken clouds
