City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
126,Kawalu,ID,82.02,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
127,Cockburn Town,TC,78.3,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
128,Soyo,AO,77.0,light rain,-6.1349,12.3689,Hotel Mpampa
129,Tiarei,PF,78.8,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
136,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
137,Ternate,ID,82.58,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
138,Port Hedland,AU,87.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
143,Riyadh,SA,89.6,clear sky,24.6877,46.7219,InterContinental Riyadh
144,Sibolga,ID,84.88,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
150,Mossendjo,CG,75.81,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
151,Matara,LK,86.63,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
152,Dalbandin,PK,88.23,overcast clouds,28.8947,64.4101,Sanjrani House
156,Keti Bandar,PK,88.05,scattered clouds,24.1447,67.4497,Haji laloo memon house
159,Luganville,VU,79.77,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
163,Hambantota,LK,89.6,scattered clouds,6.1241,81.1185,Bungalow 63
167,Port-Gentil,GA,80.6,broken clouds,-0.7193,8.7815,Fengshui Residence
170,Adrar,MR,78.31,clear sky,20.5022,-10.0711,
182,Amahai,ID,82.0,moderate rain,-3.3333,128.9167,HOTEL ISABELA
192,Isangel,VU,79.29,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
194,Nieuw Amsterdam,SR,77.0,overcast clouds,5.8833,-55.0833,Hotel Stardust
195,Merauke,ID,81.59,overcast clouds,-8.4667,140.3333,
200,Mahebourg,MU,84.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
201,Mitsamiouli,KM,82.56,clear sky,-11.3847,43.2844,Foyer ADM
203,Buchanan,LR,77.0,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
211,Namatanai,PG,81.7,light rain,-3.6667,152.4333,Namatanai Hotel
212,Bengkulu,ID,84.02,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
214,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
216,Okitipupa,NG,82.85,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
217,Kota Belud,MY,89.6,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
223,Marzuq,YE,83.75,overcast clouds,14.4,46.4667,
225,Odienne,CI,82.63,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
229,Karratha,AU,85.21,broken clouds,-20.7377,116.8463,ibis Styles Karratha
230,Springbok,ZA,78.15,clear sky,-29.6643,17.8865,Undulata Country Lodge
231,Rawalpindi,PK,82.0,overcast clouds,33.6007,73.0679,Gulzar Travel & Tours
236,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
238,Puerto El Triunfo,SV,77.0,few clouds,13.2833,-88.55,Hotel Jardin
246,Sinnamary,GF,75.74,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
249,Sungairaya,ID,86.41,light rain,0.7,108.9,Mess P.Milu
254,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
